schedule_id,slot_time_start,slot_time_end
1,10:00:00,10:30:00
1,10:30:00,11:00:00
1,11:00:00,11:30:00
1,11:30:00,12:00:00
1,12:00:00,12:30:00
1,12:30:00,13:00:00
1,13:00:00,13:30:00
1,13:30:00,14:00:00
2,09:00:00,09:30:00
2,09:30:00,10:00:00
2,10:00:00,10:30:00
2,10:30:00,11:00:00
2,11:00:00,11:30:00
2,11:30:00,12:00:00
2,12:00:00,12:30:00
2,12:30:00,13:00:00
3,08:00:00,08:30:00
3,08:30:00,09:00:00
3,09:00:00,09:30:00
3,09:30:00,10:00:00
3,10:00:00,10:30:00
3,10:30:00,11:00:00
3,11:00:00,11:30:00
3,11:30:00,12:00:00
4,09:00:00,09:30:00
4,09:30:00,10:00:00
4,10:00:00,10:30:00
4,10:30:00,11:00:00
4,11:00:00,11:30:00
4,11:30:00,12:00:00
4,12:00:00,12:30:00
4,12:30:00,13:00:00
5,08:00:00,08:30:00
5,08:30:00,09:00:00
5,09:00:00,09:30:00
5,09:30:00,10:00:00
5,10:00:00,10:30:00
5,10:30:00,11:00:00
5,11:00:00,11:30:00
5,11:30:00,12:00:00
6,13:00:00,13:30:00
6,13:30:00,14:00:00
6,14:00:00,14:30:00
6,14:30:00,15:00:00
6,15:00:00,15:30:00
6,15:30:00,16:00:00
6,16:00:00,16:30:00
6,16:30:00,17:00:00
7,13:00:00,13:30:00
7,13:30:00,14:00:00
7,14:00:00,14:30:00
7,14:30:00,15:00:00
7,15:00:00,15:30:00
7,15:30:00,16:00:00
7,16:00:00,16:30:00
7,16:30:00,17:00:00
8,13:00:00,13:30:00
8,13:30:00,14:00:00
8,14:00:00,14:30:00
8,14:30:00,15:00:00
8,15:00:00,15:30:00
8,15:30:00,16:00:00
8,16:00:00,16:30:00
8,16:30:00,17:00:00
9,08:00:00,08:30:00
9,08:30:00,09:00:00
9,09:00:00,09:30:00
9,09:30:00,10:00:00
9,10:00:00,10:30:00
9,10:30:00,11:00:00
9,11:00:00,11:30:00
9,11:30:00,12:00:00
10,08:00:00,08:30:00
10,08:30:00,09:00:00
10,09:00:00,09:30:00
10,09:30:00,10:00:00
10,10:00:00,10:30:00
10,10:30:00,11:00:00
10,11:00:00,11:30:00
10,11:30:00,12:00:00
11,08:00:00,08:30:00
11,08:30:00,09:00:00
11,09:00:00,09:30:00
11,09:30:00,10:00:00
11,10:00:00,10:30:00
11,10:30:00,11:00:00
11,11:00:00,11:30:00
11,11:30:00,12:00:00
12,09:00:00,09:30:00
12,09:30:00,10:00:00
12,10:00:00,10:30:00
12,10:30:00,11:00:00
12,11:00:00,11:30:00
12,11:30:00,12:00:00
12,12:00:00,12:30:00
12,12:30:00,13:00:00
13,08:00:00,08:30:00
13,08:30:00,09:00:00
13,09:00:00,09:30:00
13,09:30:00,10:00:00
13,10:00:00,10:30:00
13,10:30:00,11:00:00
13,11:00:00,11:30:00
13,11:30:00,12:00:00
14,08:00:00,08:30:00
14,08:30:00,09:00:00
14,09:00:00,09:30:00
14,09:30:00,10:00:00
14,10:00:00,10:30:00
14,10:30:00,11:00:00
14,11:00:00,11:30:00
14,11:30:00,12:00:00
15,13:00:00,13:30:00
15,13:30:00,14:00:00
15,14:00:00,14:30:00
15,14:30:00,15:00:00
15,15:00:00,15:30:00
15,15:30:00,16:00:00
15,16:00:00,16:30:00
15,16:30:00,17:00:00
16,10:00:00,10:30:00
16,10:30:00,11:00:00
16,11:00:00,11:30:00
16,11:30:00,12:00:00
16,12:00:00,12:30:00
16,12:30:00,13:00:00
16,13:00:00,13:30:00
16,13:30:00,14:00:00
17,10:00:00,10:30:00
17,10:30:00,11:00:00
17,11:00:00,11:30:00
17,11:30:00,12:00:00
17,12:00:00,12:30:00
17,12:30:00,13:00:00
17,13:00:00,13:30:00
17,13:30:00,14:00:00
18,09:00:00,09:30:00
18,09:30:00,10:00:00
18,10:00:00,10:30:00
18,10:30:00,11:00:00
18,11:00:00,11:30:00
18,11:30:00,12:00:00
18,12:00:00,12:30:00
18,12:30:00,13:00:00
19,09:00:00,09:30:00
19,09:30:00,10:00:00
19,10:00:00,10:30:00
19,10:30:00,11:00:00
19,11:00:00,11:30:00
19,11:30:00,12:00:00
19,12:00:00,12:30:00
19,12:30:00,13:00:00
20,10:00:00,10:30:00
20,10:30:00,11:00:00
20,11:00:00,11:30:00
20,11:30:00,12:00:00
20,12:00:00,12:30:00
20,12:30:00,13:00:00
20,13:00:00,13:30:00
20,13:30:00,14:00:00
21,13:00:00,13:30:00
21,13:30:00,14:00:00
21,14:00:00,14:30:00
21,14:30:00,15:00:00
21,15:00:00,15:30:00
21,15:30:00,16:00:00
21,16:00:00,16:30:00
21,16:30:00,17:00:00
22,08:00:00,08:30:00
22,08:30:00,09:00:00
22,09:00:00,09:30:00
22,09:30:00,10:00:00
22,10:00:00,10:30:00
22,10:30:00,11:00:00
22,11:00:00,11:30:00
22,11:30:00,12:00:00
23,10:00:00,10:30:00
23,10:30:00,11:00:00
23,11:00:00,11:30:00
23,11:30:00,12:00:00
23,12:00:00,12:30:00
23,12:30:00,13:00:00
23,13:00:00,13:30:00
23,13:30:00,14:00:00
24,10:00:00,10:30:00
24,10:30:00,11:00:00
24,11:00:00,11:30:00
24,11:30:00,12:00:00
24,12:00:00,12:30:00
24,12:30:00,13:00:00
24,13:00:00,13:30:00
24,13:30:00,14:00:00
25,10:00:00,10:30:00
25,10:30:00,11:00:00
25,11:00:00,11:30:00
25,11:30:00,12:00:00
25,12:00:00,12:30:00
25,12:30:00,13:00:00
25,13:00:00,13:30:00
25,13:30:00,14:00:00
26,09:00:00,09:30:00
26,09:30:00,10:00:00
26,10:00:00,10:30:00
26,10:30:00,11:00:00
26,11:00:00,11:30:00
26,11:30:00,12:00:00
26,12:00:00,12:30:00
26,12:30:00,13:00:00
27,08:00:00,08:30:00
27,08:30:00,09:00:00
27,09:00:00,09:30:00
27,09:30:00,10:00:00
27,10:00:00,10:30:00
27,10:30:00,11:00:00
27,11:00:00,11:30:00
27,11:30:00,12:00:00
28,10:00:00,10:30:00
28,10:30:00,11:00:00
28,11:00:00,11:30:00
28,11:30:00,12:00:00
28,12:00:00,12:30:00
28,12:30:00,13:00:00
28,13:00:00,13:30:00
28,13:30:00,14:00:00
29,09:00:00,09:30:00
29,09:30:00,10:00:00
29,10:00:00,10:30:00
29,10:30:00,11:00:00
29,11:00:00,11:30:00
29,11:30:00,12:00:00
29,12:00:00,12:30:00
29,12:30:00,13:00:00
30,13:00:00,13:30:00
30,13:30:00,14:00:00
30,14:00:00,14:30:00
30,14:30:00,15:00:00
30,15:00:00,15:30:00
30,15:30:00,16:00:00
30,16:00:00,16:30:00
30,16:30:00,17:00:00
31,08:00:00,08:30:00
31,08:30:00,09:00:00
31,09:00:00,09:30:00
31,09:30:00,10:00:00
31,10:00:00,10:30:00
31,10:30:00,11:00:00
31,11:00:00,11:30:00
31,11:30:00,12:00:00
32,10:00:00,10:30:00
32,10:30:00,11:00:00
32,11:00:00,11:30:00
32,11:30:00,12:00:00
32,12:00:00,12:30:00
32,12:30:00,13:00:00
32,13:00:00,13:30:00
32,13:30:00,14:00:00
33,10:00:00,10:30:00
33,10:30:00,11:00:00
33,11:00:00,11:30:00
33,11:30:00,12:00:00
33,12:00:00,12:30:00
33,12:30:00,13:00:00
33,13:00:00,13:30:00
33,13:30:00,14:00:00
34,13:00:00,13:30:00
34,13:30:00,14:00:00
34,14:00:00,14:30:00
34,14:30:00,15:00:00
34,15:00:00,15:30:00
34,15:30:00,16:00:00
34,16:00:00,16:30:00
34,16:30:00,17:00:00
35,08:00:00,08:30:00
35,08:30:00,09:00:00
35,09:00:00,09:30:00
35,09:30:00,10:00:00
35,10:00:00,10:30:00
35,10:30:00,11:00:00
35,11:00:00,11:30:00
35,11:30:00,12:00:00
36,09:00:00,09:30:00
36,09:30:00,10:00:00
36,10:00:00,10:30:00
36,10:30:00,11:00:00
36,11:00:00,11:30:00
36,11:30:00,12:00:00
36,12:00:00,12:30:00
36,12:30:00,13:00:00
37,10:00:00,10:30:00
37,10:30:00,11:00:00
37,11:00:00,11:30:00
37,11:30:00,12:00:00
37,12:00:00,12:30:00
37,12:30:00,13:00:00
37,13:00:00,13:30:00
37,13:30:00,14:00:00
38,08:00:00,08:30:00
38,08:30:00,09:00:00
38,09:00:00,09:30:00
38,09:30:00,10:00:00
38,10:00:00,10:30:00
38,10:30:00,11:00:00
38,11:00:00,11:30:00
38,11:30:00,12:00:00
39,09:00:00,09:30:00
39,09:30:00,10:00:00
39,10:00:00,10:30:00
39,10:30:00,11:00:00
39,11:00:00,11:30:00
39,11:30:00,12:00:00
39,12:00:00,12:30:00
39,12:30:00,13:00:00
40,13:00:00,13:30:00
40,13:30:00,14:00:00
40,14:00:00,14:30:00
40,14:30:00,15:00:00
40,15:00:00,15:30:00
40,15:30:00,16:00:00
40,16:00:00,16:30:00
