iter	Passed	Remaining
0	173	173361
1	192	95909
2	212	70622
3	232	58001
4	249	49702
5	265	43983
6	282	40061
7	297	36933
8	314	34615
9	328	32488
10	343	30901
11	360	29699
12	377	28623
13	399	28145
14	417	27404
15	437	26905
16	457	26425
17	472	25755
18	488	25230
19	504	24706
20	520	24279
21	536	23868
22	552	23451
23	567	23090
24	583	22759
25	597	22373
26	613	22109
27	629	21869
28	644	21591
29	661	21388
30	674	21083
31	689	20847
32	705	20671
33	721	20506
34	737	20329
35	753	20169
36	768	20004
37	784	19848
38	802	19766
39	818	19655
40	834	19526
41	851	19412
42	875	19481
43	901	19580
44	920	19532
45	936	19425
46	961	19501
47	995	19748
48	1023	19864
49	1042	19808
50	1060	19739
51	1078	19655
52	1094	19551
53	1112	19489
54	1132	19450
55	1148	19360
56	1164	19260
57	1178	19135
58	1197	19097
59	1213	19018
60	1230	18943
61	1246	18857
62	1262	18775
63	1278	18695
64	1294	18616
65	1308	18518
66	1323	18436
67	1340	18368
68	1356	18301
69	1372	18240
70	1388	18166
71	1404	18096
72	1419	18023
73	1434	17952
74	1451	17900
75	1466	17834
76	1482	17766
77	1497	17695
78	1513	17649
79	1530	17597
80	1545	17539
81	1560	17474
82	1576	17418
83	1595	17396
84	1610	17337
85	1626	17289
86	1646	17283
87	1662	17233
88	1678	17185
89	1694	17129
90	1710	17091
91	1727	17050
92	1744	17009
93	1760	16965
94	1776	16921
95	1792	16879
96	1808	16836
97	1822	16778
98	1838	16729
99	1854	16686
100	1871	16654
101	1886	16612
102	1902	16572
103	1918	16531
104	1933	16482
105	1948	16434
106	1964	16394
107	1981	16363
108	1997	16328
109	2013	16291
110	2028	16249
111	2042	16193
112	2057	16151
113	2068	16073
114	2082	16024
115	2099	15999
116	2115	15964
117	2130	15921
118	2145	15884
119	2161	15849
120	2176	15810
121	2192	15778
122	2204	15720
123	2219	15681
124	2233	15636
125	2247	15590
126	2261	15543
127	2277	15512
128	2293	15486
129	2303	15415
130	2318	15383
131	2332	15335
132	2346	15297
133	2362	15270
134	2379	15243
135	2396	15223
136	2412	15195
137	2427	15161
138	2442	15126
139	2455	15086
140	2471	15058
141	2486	15021
142	2500	14986
143	2516	14956
